ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
TypestateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #60d7ea5341a7ee920c32f1d5505c0f44ccf885f98e2661cd687571ac14b84fac);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r9 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r9);false;false
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r5);false;false
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer695, $r3, $r8);false;false
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer695, $r3, $r8);false;false
NeverTypeOfError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);First parameter should never be of type java.lang.String.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0);false;false
HardCodedError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);First parameter should never be hardcoded.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0);false;false
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, varReplacer711);false;false
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2);false;false
IncompleteOperationError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2);false;false
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0);false;false
ConstraintError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #f64b0af17198f90e467ca365269b412216a9e3b75e147a7469ccd914f26e19b1);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer712);false;false
TypestateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #718ed31d4cd986f7135191e1399c0160c3d24f3bb7ae0af4a9b1307dc8ccef60);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r0 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0);false;false
RequiredPredicateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2);false;false
RequiredPredicateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer714, $r1, $r4);false;false
