ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
RequiredPredicateError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer4690, varReplacer4691);false;false
RequiredPredicateError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false;false
ConstraintError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #1558fcd736e92b8fa2b314d9e09a9b6460e02479e55bcc305317cab528063acb);Third parameter (with value 2048)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer4690, varReplacer4691);false;false
NeverTypeOfError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #1558fcd736e92b8fa2b314d9e09a9b6460e02479e55bcc305317cab528063acb);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer4690, varReplacer4691);false;false
HardCodedError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #1558fcd736e92b8fa2b314d9e09a9b6460e02479e55bcc305317cab528063acb);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer4690, varReplacer4691);false;false
IncompleteOperationError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #1558fcd736e92b8fa2b314d9e09a9b6460e02479e55bcc305317cab528063acb);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false;false
ConstraintError;com.facebook.common.util.SecureHashUtil;java.lang.String makeSHA1HashBase64(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #4c349679b4e75d1a818cc15c54c8d5026590a430d07c2275c092a4747c675158);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer18829);false;false
NeverTypeOfError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #453584eb78f05be4e36f5f50e54c5bcc62a8e6fa71d9a8e8a3ff79bcf322886b);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24209);false;false
HardCodedError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #453584eb78f05be4e36f5f50e54c5bcc62a8e6fa71d9a8e8a3ff79bcf322886b);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24209);false;false
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false;false
ConstraintError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #453584eb78f05be4e36f5f50e54c5bcc62a8e6fa71d9a8e8a3ff79bcf322886b);Third parameter (with value 10)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24209);false;false
IncompleteOperationError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #453584eb78f05be4e36f5f50e54c5bcc62a8e6fa71d9a8e8a3ff79bcf322886b);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false;false
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24209);false;false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void autoPair(im.status.keycard.io.CardChannel,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #77968934e2a3c1e7b9812c4cc82c97ba160780dc5bb6f55b9e812737f3817c0c);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String,java.lang.String)>(varReplacer26685, varReplacer26686);false;false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for javax.crypto.KeyAgreement ;First parameter was not properly generated as generated Privkey;virtualinvoke $r10.<javax.crypto.KeyAgreement: void init(java.security.Key)>($r11);false;false
IncompleteOperationError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #1fcf841da22c63fc8af9b2842f0df46a02882b511ae732d5e551693325b488ab);Operation on object of type java.security.KeyPairGenerator object not completed. Expected call to java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair(), genKeyPair, initialize, java.security.KeyPairGeneratorSpi: java.security.KeyPair generateKeyPair();$r5 = virtualinvoke $r3.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>();false;false
