ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
IncompleteOperationError;com.datatheorem.android.trustkit.config.TrustKitConfigurationParser;com.datatheorem.android.trustkit.config.TrustKitConfigurationParser$DebugOverridesTag readDebugOverrides(android.content.Context,org.xmlpull.v1.XmlPullParser);violating CrySL rule for java.security.cert.CertificateFactory (on Object #13b3b0c234e0801a9b1b0447407425a5725dd56dde7ba2d2b67a8fa29f4ee5f6);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r12 = virtualinvoke $r11.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r10);false;false
ConstraintError;me.proton.core.network.data.PinningKt;void initSPKIleafPinning(okhttp3.OkHttpClient$Builder,java.util.List);violating CrySL rule for javax.net.ssl.SSLContext (on Object #515277f457f9446326e07803eb4af38df25a20460bcca5e9e22e512cf751cafa);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer11346);false;false
RequiredPredicateError;me.proton.core.network.data.PinningKt;void initSPKIleafPinning(okhttp3.OkHttpClient$Builder,java.util.List);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11349, $r6, varReplacer11349);false;false
RequiredPredicateError;me.proton.core.network.data.PinningKt;void initSPKIleafPinning(okhttp3.OkHttpClient$Builder,java.util.List);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11349, $r6, varReplacer11349);false;false
RequiredPredicateError;me.proton.core.network.data.PinningKt;void initSPKIleafPinning(okhttp3.OkHttpClient$Builder,java.util.List);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11349, $r6, varReplacer11349);false;false
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac encrypt(byte[],com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer11769, $r5, $r0);false;false
TypestateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac encrypt(byte[],com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher (on Object #4ee9eb15fa4b75e736b9cab9d13184eda3f5eb2733aad4c7cf82ca49f8f607b3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1);false;false
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer11823, $r5, $r0);false;false
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false;false
TypestateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher (on Object #f2516c9aee0da29b0888565a04bc8fce467fa4a6af444a5456a890ae43b4a412);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3);false;false
ConstraintError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #62e86c5f654f2126003f2079bf2086737ed28a729cf8051477aa8da2a4275088);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer54072);false;false
