ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37028, $r6, varReplacer37028);false;true
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37028, $r6, varReplacer37028);false;true
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37028, $r6, varReplacer37028);false;true
ConstraintError;okhttp3.internal.platform.b;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #d24dcb28e6f91b9b912c5cab37f4a3608bda3023818994f151754e4a7c5d1946);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer37031, $r2);false;true
ConstraintError;okhttp3.internal.platform.b;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #8fffa9fdf7c781b3f9a97939fb1eca361431c5c8f5f6c165ec5f15e929d319b9);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer40362, $r2);false;true
RequiredPredicateError;okhttp3.internal.platform.b;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37010);false;true
ConstraintError;l8.e;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #22591f02088b0bb6c1807d2f7b1483337222c77b91003ea723df88ac434bf397);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer40356);false;false
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37025, $r8, varReplacer37025);false;false
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37025, $r8, varReplacer37025);false;false
RequiredPredicateError;l8.e;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37025, $r8, varReplacer37025);false;false
RequiredPredicateError;l8.e;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37008);false;false
ConstraintError;l8.d;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #9b784c01e0dec8205ebd4b2b61d0b18421046c4da1031fca2ad8738084b0a8de);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer40359);false;false
ConstraintError;okhttp3.internal.platform.a;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #b960308552051ab11b6f06e88c3281a09b2ee88ca079af3ea80003e43efabe21);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer40364, $r2);false;true
RequiredPredicateError;okhttp3.internal.platform.a;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer37016);false;true
ConstraintError;p8.h;p8.h e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #88f865924c4b01128fa65698b555476db3c8bf0708d7231c4ba86b772775ac36);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false;false
ConstraintError;p8.v;p8.h e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bd115e0b4b7f87be4153991abcdae60f971215267ad2f281b1d77fedcc896dc9);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false;false
